"59","Ibrahim Medical College","IMC","DU","2002","2002","110","47","3","\\N",\N,\N
"60","Bangladesh Medical College","BMCH","DU","1986","1986","120","47","3","\\N",\N,\N
"61","Holy Family Red Crescent Medical College","HFRCMC","DU","2000","2000","130","47","3","\\N",\N,\N
"62","Jahurul Islam Medical College","JIMC","DU","1992","1992","100","45","3","\\N",\N,\N
"63","Uttara Adhunik Medical College","UAMC","DU","2007","2007","90","47","3","\\N",\N,\N
"64","Shaheed Monsur Ali Medical College","SMAMC","DU","1994","1994","140","47","3","\\N",\N,\N
"65","Enam Medical College and Hospital","EMCH","DU","2003","2003","140","47","3","\\N",\N,\N
"66","Community Based Medical College","CBMCB","DU","1995","1995","125","62","3","\\N",\N,\N
"67","Ibn Sina Medical College","ISMC","DU","1995","2005","65","47","3","\\N",\N,\N
"68","Shahabuddin Medical College","SMC","DU","2003","2003","90","47","3","\\N",\N,\N
"69","Medical College for Women & Hospital","MCW","DU","1992","1992","90","47","3","\\N",\N,\N
"70","Z. H. Sikder Womens Medical College","ZHSWMC","DU","1992","1992","100","47","3","\\N",\N,\N
"71","Kumudini Womens Medical College","KWMC","DU","2001","2001","120","44","3","\\N",\N,\N
"72","Tairunnessa Memorial Medical College","TMMC","DU","1992","1992","100","41","3","\\N",\N,\N
"73","Ad-din Womens Medical College","AWMC","DU","2008","2008","95","47","3","\\N",\N,\N
"74","International Medical College","IMC","DU","2000","2000","120","41","3","\\N",\N,\N
"75","Central Medical College","CEMEC","CU","2005","2005","75","1","3","\\N",\N,\N
"76","B.G.C Trust Medical College","BGCTMC","CU","2002","2002","100","8","3","\\N",\N,\N
"77","Eastern Medical College","EMC","CU","2005","2005","105","1","3","\\N",\N,\N
"78","Islami Bank Medical College","IBMC","RU","2003","2003","75","15","3","\\N",\N,\N
"79","Khwaja Yunus Ali Medical College","KYAMC","RU","2005","2005","95","47","3","\\N",\N,\N
"80","Jalalabad Ragib-Rabeya Medical College","JRRMC","SUST","1995","1995","175","36","3","\\N",\N,\N
"81","East West Medical College","EWMCH","DU","2000","2000","120","47","3","\\N",\N,\N
"82","North East Medical College","NEMC","SUST","1997","1997","120","36","3","\\N",\N,\N
"83","Institute of Applied Health Sciences","IAHS","University of Science and Technology Chittagong(US","1989","1989","75","8","3","\\N",\N,\N
"84","Gonoshasthaya Samaj Vittik Medical College","GSVMC","DU","1998","1998","50","47","3","\\N",\N,\N
"85","Chattagram Maa-O-Shishu Hospital Medical College","CMOSHMC","CU","2005","2005","110","8","3","\\N",\N,\N
"86","T.M.S.S. Medical College","TMC","RU","2008","2008","150","14","3","\\N",\N,\N
"87","Prime Medical College","PMC","RU","2008","2008","125","59","3","\\N",\N,\N
"88","North Bengal Medical College","NBMC","RU","2000","2000","85","12","3","\\N",\N,\N
"89","Rangpur Community Medical College","RCMC","RU","2001","2008","125","59","3","\\N",\N,\N
"90","Delta Medical College","DLMC","DU","2006","2006","90","47","3","\\N",\N,\N
"91","Southern Medical College","SMCH","CU","2006","2006","95","8","3","\\N",\N,\N
"92","Anwer Khan Modern Medical College","AKMMC","DU","2008","2008","120","47","3","\\N",\N,\N
"93","Ad-din Sakina Medical College","ASMC","RU","2012","2012","65","20","3","\\N",\N,\N
"94","Popular Medical College","PMC","DU","2010","2010","90","47","3","\\N",\N,\N
"95","Green Life Medical College","GMCH","DU","2010","2010","100","47","3","\\N",\N,\N
"96","Dhaka Community Medical College","DCMC","DU","2008","2008","100","47","3","\\N",\N,\N
"97","Northern Private Medical College","NPMC","RU","2001","2001","70","59","3","\\N",\N,\N
"98","Sylhet Womens Medical College","SWMC","SUST","2005","2005","100","36","3","\\N",\N,\N
"99","Monno Medical College","MoMC","DU","2002","2002","80","47","3","\\N",\N,\N
"100","MH Samorita Medical College","MHSMC","DU","2010","2010","110","47","3","\\N",\N,\N
"101","City Medical College","CiMC","DU","2011","2011","80","41","3","\\N",\N,\N
"102","Marks Medical College","MarksMC","DU","2011","2011","70","47","3","\\N",\N,\N
"103","Diabetic Association Medical College","DAMC","DU","2010","2010","80","52","3","\\N",\N,\N
"104","Barind Medical College","BMC","RU","2011","2011","100","15","3","\\N",\N,\N
"105","Gazi Medical College","GMC","RU","2011","2011","90","27","3","\\N",\N,\N
"106","Northern International Medical College","NIMC","DU","2005","2005","75","47","3","\\N",\N,\N
"107","Dhaka Central International Medical College","DCIMC","DU","2011","2011","90","47","3","\\N",\N,\N
"108","Dr. Sirajul Islam Medical College","SIMC","DU","2011","2011","100","47","3","\\N",\N,\N
"109","Mainamoti Medical College","MMCH","CU","2011","2011","100","1","3","\\N",\N,\N
"110","CARe Medical College","CAReMC","DU","2014","2014","50","47","3","\\N",\N,\N
"111","Bikrampur Bhuiyans Medical College","BBMC","DU","2014","2014","50","48","3","\\N",\N,\N
"112","Universal Medical College","UMC","DU","2014","2014","50","47","3","\\N",\N,\N
"113","Ashiyan Medical College","AMC","DU","2012","2012","50","47","3","\\N",\N,\N
"114","US-Bangla Medical College","USBMC","DU","2013","2015","60","47","3","\\N",\N,\N
"115","President Abdul Hamid Medical College","PAHMC","DU","2013","2013","70","45","3","\\N",\N,\N
"116","Brahmanbaria Medical College","BBMC","CU","2010","2013","50","3","3","\\N",\N,\N
"117","Parkview Medical College","PMC","SUST","2013","2013","50","36","3","\\N",\N,\N
"118","Ad-Din Akij Medical College","AAMC","RU","2013","2013","50","27","3","\\N",\N,\N
"119","Shah Mokhdum Medical College(Black list by MOHFW)","SMMC","RU","2012","2012","50","15","3","\\N",\N,\N
"120","Monowara Sikder Medical College","MSMC","DU","2015","2016","50","42","3","\\N",\N,\N
"121","Bashundhara Ad-din Medical College","BAMC","DU","2014","2014","50","47","3","\\N",\N,\N
"122","Aichi Medical College","AIMC","DU","2013","2013","50","47","3","\\N",\N,\N
"123","Marine City Medical College","MCMC","CU","2014","2014","50","8","3","\\N",\N,\N
"124","Khulna City Medical College","KCMC","RU","2013","2016","50","27","3","\\N",\N,\N
"125","Chattagram International Medical College","CIMCH","CU","2013","2013","50","8","3","\\N",\N,\N
"126","Nightingale Medical College (Black list by MOHFW)","NMC","DU","2006","2006","85","47","3","\\N",\N,\N
"127","United Medical College","UnMC","DU","2020","2020","50","47","3","\\N",\N,\N
"128","South Apollo Medical College","SAMC","DU","2018","2021","50","33","3","\\N",\N,\N
"129","Ahsania Mission Medical College","AMMC","DU","2021","2021","50","47","3","\\N",\N,\N
"130","University Dental College","UDC","DU","1995","1995","0","47","3","\\N",\N,\N
"131","City Dental College","CDC","DU","1996","1996","0","47","3","\\N",\N,\N
"132","Pioneer Dental College","PDC","DU","1995","1995","0","47","3","\\N",\N,\N
"133","Sapporo Dental College","SDC","DU","1993","2000","0","47","3","\\N",\N,\N
"134","Bangladesh Dental College","BDC","DU","1986","1996","0","47","3","\\N",\N,\N
"135","Chattagram International Dental College","CIDC","CU","2003","2003","0","8","3","\\N",\N,\N
"136","Rangpur Dental College","RDC","RU","2001","2001","0","59","3","\\N",\N,\N
"137","Update Dental College","UpDC","DU","2008","2008","0","47","3","\\N",\N,\N
"138","Marks Dental College","MDC","DU","2008","2008","0","47","3","\\N",\N,\N
"139","Saphena Womens Dental College","SWDC","DU","2010","2010","0","47","3","\\N",\N,\N
"140","Mandy Dental College","MDC","DU","2008","2008","0","47","3","\\N",\N,\N
"141","Udayan Dental College","UdDC","RU","2008","2009","0","15","3","\\N",\N,\N
"142","TMSS Medical College Dental Unit","TMCDU","RU","2008","2012","0","14","3","\\N",\N,\N
"143","MH Samorita Medical College & Dental Unit","MHSMCDU","DU","2010","2010","0","47","3","\\N",\N,\N
"144","Kumudini Womens Medical College, Dental Unit","KWMCDU","DU","2011","2001","0","47","3","\\N",\N,\N
"145","Holy Family Red Cresect Medical College Dental Unit","HFRCMCDU","DU","2013","2013","0","47","3","\\N",\N,\N
"146","Gonoshasthaya Samajvittik Samaj Vittik Dental College","GSVMCDU","DU","1998","1998","0","47","3","\\N",\N,\N
"147","Ibrahim Medical College, Dental Unit","IMCDU","DU","2015","2015","0","47","3","\\N",\N,\N
"148","Dhaka Community Medical College Hospital And Dental Unit","DCMCDU","DU","2015","2015","0","47","3","\\N",\N,\N
"149","Delta Medical College & Hospital Dental Unit","DLMCDU","DU","2015","2015","0","47","3","\\N",\N,\N
"150","Community Based Medical College, Bangladesh Dental Unit","CBMCDU","DU","2015","2015","0","47","3","\\N",\N,\N
"151","Dhaka National Medical College Dental Unit","DNMCDU","DU","2015","2015","0","47","3","\\N",\N,\N
"152","Islami Bank Medical College Dental Unit","IBMCDU","DU","2015","2015","0","47","3","\\N",\N,\N
"153","Sylhet Central Dental College & General Hospital","SCDC","DU","2015","2015","0","47","3","\\N",\N,\N
"154","Khawja Eunus Ali Medical College Dental Unit","KEAMCDU","DU","2015","2015","0","47","3","\\N",\N,\N
"155","North East Medical College Dental Unit","NEMCDU","DU","2015","2015","0","47","3","\\N",\N,\N
