"61","7","Kamalnagar","কমলনগর",\N,\N,"kamalnagar.lakshmipur.gov.bd"
"62","7","Raipur","রায়পুর",\N,\N,"raipur.lakshmipur.gov.bd"
"63","7","Ramgati","রামগতি",\N,\N,"ramgati.lakshmipur.gov.bd"
"64","7","Ramganj","রামগঞ্জ",\N,\N,"ramganj.lakshmipur.gov.bd"
"65","8","Rangunia","রাঙ্গুনিয়া",\N,\N,"rangunia.chittagong.gov.bd"
"66","8","Sitakunda","সীতাকুন্ড",\N,\N,"sitakunda.chittagong.gov.bd"
"67","8","Mirsharai","মীরসরাই",\N,\N,"mirsharai.chittagong.gov.bd"
"68","8","Patiya","পটিয়া",\N,\N,"patiya.chittagong.gov.bd"
"69","8","Sandwip","সন্দ্বীপ",\N,\N,"sandwip.chittagong.gov.bd"
"70","8","Banshkhali","বাঁশখালী",\N,\N,"banshkhali.chittagong.gov.bd"
"71","8","Boalkhali","বোয়ালখালী",\N,\N,"boalkhali.chittagong.gov.bd"
"72","8","Anwara","আনোয়ারা",\N,\N,"anwara.chittagong.gov.bd"
"73","8","Chandanaish","চন্দনাইশ",\N,\N,"chandanaish.chittagong.gov.bd"
"74","8","Satkania","সাতকানিয়া",\N,\N,"satkania.chittagong.gov.bd"
"75","8","Lohagara","লোহাগাড়া",\N,\N,"lohagara.chittagong.gov.bd"
"76","8","Hathazari","হাটহাজারী",\N,\N,"hathazari.chittagong.gov.bd"
"77","8","Fatikchhari","ফটিকছড়ি",\N,\N,"fatikchhari.chittagong.gov.bd"
"78","8","Raozan","রাউজান",\N,\N,"raozan.chittagong.gov.bd"
"79","8","Karnafuli","কর্ণফুলী",\N,\N,"karnafuli.chittagong.gov.bd"
"80","9","Coxsbazar Sadar","কক্সবাজার সদর",\N,\N,"sadar.coxsbazar.gov.bd"
"81","9","Chakaria","চকরিয়া",\N,\N,"chakaria.coxsbazar.gov.bd"
"82","9","Kutubdia","কুতুবদিয়া",\N,\N,"kutubdia.coxsbazar.gov.bd"
"83","9","Ukhiya","উখিয়া",\N,\N,"ukhiya.coxsbazar.gov.bd"
"84","9","Moheshkhali","মহেশখালী",\N,\N,"moheshkhali.coxsbazar.gov.bd"
"85","9","Pekua","পেকুয়া",\N,\N,"pekua.coxsbazar.gov.bd"
"86","9","Ramu","রামু",\N,\N,"ramu.coxsbazar.gov.bd"
"87","9","Teknaf","টেকনাফ",\N,\N,"teknaf.coxsbazar.gov.bd"
"88","10","Khagrachhari Sadar","খাগড়াছড়ি সদর",\N,\N,"sadar.khagrachhari.gov.bd"
"89","10","Dighinala","দিঘীনালা",\N,\N,"dighinala.khagrachhari.gov.bd"
"90","10","Panchari","পানছড়ি",\N,\N,"panchari.khagrachhari.gov.bd"
"91","10","Laxmichhari","লক্ষীছড়ি",\N,\N,"laxmichhari.khagrachhari.gov.bd"
"92","10","Mohalchari","মহালছড়ি",\N,\N,"mohalchari.khagrachhari.gov.bd"
"93","10","Manikchari","মানিকছড়ি",\N,\N,"manikchari.khagrachhari.gov.bd"
"94","10","Ramgarh","রামগড়",\N,\N,"ramgarh.khagrachhari.gov.bd"
"95","10","Matiranga","মাটিরাঙ্গা",\N,\N,"matiranga.khagrachhari.gov.bd"
"96","10","Guimara","গুইমারা",\N,\N,"guimara.khagrachhari.gov.bd"
"97","11","Bandarban Sadar","বান্দরবান সদর",\N,\N,"sadar.bandarban.gov.bd"
"98","11","Alikadam","আলীকদম",\N,\N,"alikadam.bandarban.gov.bd"
"99","11","Naikhongchhari","নাইক্ষ্যংছড়ি",\N,\N,"naikhongchhari.bandarban.gov.bd"
"100","11","Rowangchhari","রোয়াংছড়ি",\N,\N,"rowangchhari.bandarban.gov.bd"
"101","11","Lama","লামা",\N,\N,"lama.bandarban.gov.bd"
"102","11","Ruma","রুমা",\N,\N,"ruma.bandarban.gov.bd"
"103","11","Thanchi","থানচি",\N,\N,"thanchi.bandarban.gov.bd"
"104","12","Belkuchi","বেলকুচি",\N,\N,"belkuchi.sirajganj.gov.bd"
"105","12","Chauhali","চৌহালি",\N,\N,"chauhali.sirajganj.gov.bd"
"106","12","Kamarkhand","কামারখন্দ",\N,\N,"kamarkhand.sirajganj.gov.bd"
"107","12","Kazipur","কাজীপুর",\N,\N,"kazipur.sirajganj.gov.bd"
"108","12","Raigonj","রায়গঞ্জ",\N,\N,"raigonj.sirajganj.gov.bd"
"109","12","Shahjadpur","শাহজাদপুর",\N,\N,"shahjadpur.sirajganj.gov.bd"
"110","12","Sirajganj Sadar","সিরাজগঞ্জ সদর",\N,\N,"sirajganjsadar.sirajganj.gov.bd"
"111","12","Tarash","তাড়াশ",\N,\N,"tarash.sirajganj.gov.bd"
"112","12","Ullapara","উল্লাপাড়া",\N,\N,"ullapara.sirajganj.gov.bd"
"113","13","Sujanagar","সুজানগর",\N,\N,"sujanagar.pabna.gov.bd"
"114","13","Ishurdi","ঈশ্বরদী",\N,\N,"ishurdi.pabna.gov.bd"
"115","13","Bhangura","ভাঙ্গুড়া",\N,\N,"bhangura.pabna.gov.bd"
"116","13","Pabna Sadar","পাবনা সদর",\N,\N,"pabnasadar.pabna.gov.bd"
"117","13","Bera","বেড়া",\N,\N,"bera.pabna.gov.bd"
"118","13","Atghoria","আটঘরিয়া",\N,\N,"atghoria.pabna.gov.bd"
"119","13","Chatmohar","চাটমোহর",\N,\N,"chatmohar.pabna.gov.bd"
"120","13","Santhia","সাঁথিয়া",\N,\N,"santhia.pabna.gov.bd"
"121","13","Faridpur","ফরিদপুর",\N,\N,"faridpur.pabna.gov.bd"
"122","14","Kahaloo","কাহালু",\N,\N,"kahaloo.bogra.gov.bd"
"123","14","Bogra Sadar","বগুড়া সদর",\N,\N,"sadar.bogra.gov.bd"
"124","14","Shariakandi","সারিয়াকান্দি",\N,\N,"shariakandi.bogra.gov.bd"
"125","14","Shajahanpur","শাজাহানপুর",\N,\N,"shajahanpur.bogra.gov.bd"
"126","14","Dupchanchia","দুপচাচিঁয়া",\N,\N,"dupchanchia.bogra.gov.bd"
"127","14","Adamdighi","আদমদিঘি",\N,\N,"adamdighi.bogra.gov.bd"
"128","14","Nondigram","নন্দিগ্রাম",\N,\N,"nondigram.bogra.gov.bd"
"129","14","Sonatala","সোনাতলা",\N,\N,"sonatala.bogra.gov.bd"
"130","14","Dhunot","ধুনট",\N,\N,"dhunot.bogra.gov.bd"
"131","14","Gabtali","গাবতলী",\N,\N,"gabtali.bogra.gov.bd"
"132","14","Sherpur","শেরপুর",\N,\N,"sherpur.bogra.gov.bd"
"133","14","Shibganj","শিবগঞ্জ",\N,\N,"shibganj.bogra.gov.bd"
"134","15","Paba","পবা",\N,\N,"paba.rajshahi.gov.bd"
"135","15","Durgapur","দুর্গাপুর",\N,\N,"durgapur.rajshahi.gov.bd"
"136","15","Mohonpur","মোহনপুর",\N,\N,"mohonpur.rajshahi.gov.bd"
"137","15","Charghat","চারঘাট",\N,\N,"charghat.rajshahi.gov.bd"
"138","15","Puthia","পুঠিয়া",\N,\N,"puthia.rajshahi.gov.bd"
"139","15","Bagha","বাঘা",\N,\N,"bagha.rajshahi.gov.bd"
"140","15","Godagari","গোদাগাড়ী",\N,\N,"godagari.rajshahi.gov.bd"
"141","15","Tanore","তানোর",\N,\N,"tanore.rajshahi.gov.bd"
"142","15","Bagmara","বাগমারা",\N,\N,"bagmara.rajshahi.gov.bd"
"143","16","Natore Sadar","নাটোর সদর",\N,\N,"natoresadar.natore.gov.bd"
"144","16","Singra","সিংড়া",\N,\N,"singra.natore.gov.bd"
"145","16","Baraigram","বড়াইগ্রাম",\N,\N,"baraigram.natore.gov.bd"
"146","16","Bagatipara","বাগাতিপাড়া",\N,\N,"bagatipara.natore.gov.bd"
"147","16","Lalpur","লালপুর",\N,\N,"lalpur.natore.gov.bd"
"148","16","Gurudaspur","গুরুদাসপুর",\N,\N,"gurudaspur.natore.gov.bd"
"149","16","Naldanga","নলডাঙ্গা",\N,\N,"naldanga.natore.gov.bd"
"150","17","Akkelpur","আক্কেলপুর",\N,\N,"akkelpur.joypurhat.gov.bd"
"151","17","Kalai","কালাই",\N,\N,"kalai.joypurhat.gov.bd"
"152","17","Khetlal","ক্ষেতলাল",\N,\N,"khetlal.joypurhat.gov.bd"
"153","17","Panchbibi","পাঁচবিবি",\N,\N,"panchbibi.joypurhat.gov.bd"
"154","17","Joypurhat Sadar","জয়পুরহাট সদর",\N,\N,"joypurhatsadar.joypurhat.gov.bd"
